"year","month","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","quarter","season","is_summer","is_winter","is_holiday","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system"
1996,"1",1421,146,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,1,NA,NA,0.1027445460943,NA,NA,0.000133945138672808,1.37621324744757e-05,0.000374219761015518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"2",1468,141,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,0.0330752990851513,-0.0342465753424658,0.0960490463215259,0.0330752990851513,-0.0342465753424658,0.000138375414195413,1.32908265678156e-05,0.00038659719153468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"3",1512,116,100.664,9.489,426.8,10608821,3797234,8.2,1,"Spring",0,0,0,0.0299727520435967,-0.177304964539007,0.0767195767195767,0.0299727520435967,-0.177304964539007,0.000142522906174023,1.0934297034515e-05,0.0003981845732973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"4",1870,157,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,0,0.236772486772487,0.353448275862069,0.0839572192513369,0.236772486772487,0.353448275862069,0.000176268409090888,1.4799005469128e-05,0.000492463724911343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"5",2199,158,100.664,9.489,426.8,10608821,3797234,8.2,2,"Spring",0,0,1,0.175935828877005,0.00636942675159236,0.0718508412914961,0.175935828877005,0.00636942675159236,0.000207280337749124,1.489326665046e-05,0.000579105738545478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"6",2366,186,100.664,9.489,426.8,10608821,3797234,8.2,2,"Summer",1,0,0,0.075943610732151,0.177215189873418,0.0786136939983094,0.075943610732151,0.177215189873418,0.000223021955031572,1.75325797277567e-05,0.000623085119326331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7",2484,218,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,0.0498732037193576,0.172043010752688,0.0877616747181965,0.0498732037193576,0.172043010752688,0.000234144774428751,2.05489375303816e-05,0.000654160370416993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"8",2380,292,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,-0.0418679549114332,0.339449541284404,0.122689075630252,-0.0418679549114332,0.339449541284404,0.000224341611570221,2.75242649489514e-05,0.000626772013523528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"9",2240,205,100.664,9.489,426.8,10608821,3797234,8.2,3,"Autumn",0,0,0,-0.0588235294117647,-0.297945205479452,0.0915178571428571,-0.0588235294117647,-0.297945205479452,0.000211145046183737,1.93235421730652e-05,0.000589903071551556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"10",2124,189,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,-0.0517857142857143,-0.0780487804878049,0.0889830508474576,-0.0517857142857143,-0.0780487804878049,0.000200210749149222,1.78153632717528e-05,0.000559354519631922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"11",1930,171,100.664,9.489,426.8,10608821,3797234,8.2,4,"Autumn",0,0,0,-0.0913370998116761,-0.0952380952380952,0.0886010362694301,-0.0913370998116761,-0.0952380952380952,0.000181924079970809,1.61186620077764e-05,0.000508264700042189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"12",1781,178,100.664,9.489,426.8,10608821,3797234,8.2,4,"Winter",0,1,0,-0.0772020725388601,0.0409356725146199,0.0999438517686693,-0.0772020725388601,0.0409356725146199,0.000167879163952337,1.67784902771005e-05,0.00046902561180059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"1",1625,137,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,1,-0.0875912408759124,-0.230337078651685,0.0843076923076923,-0.0875912408759124,-0.230337078651685,0.000152420264973016,1.2850200800802e-05,0.000401386103543782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"2",1605,123,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,-0.0123076923076923,-0.102189781021898,0.0766355140186916,-0.0123076923076923,-0.102189781021898,0.000150544323250272,1.15370415948806e-05,0.000396445966884782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"3",1831,138,111.193,10.43,426.3,10661312,4048471,5.5,1,"Spring",0,0,0,0.140809968847352,0.121951219512195,0.0753686510103768,0.140809968847352,0.121951219512195,0.000171742464717288,1.29439978869392e-05,0.000452269511131486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"4",1810,188,111.193,10.43,426.3,10661312,4048471,5.5,2,"Spring",0,0,0,-0.0114691425450573,0.36231884057971,0.103867403314917,-0.0114691425450573,0.36231884057971,0.000169772725908406,1.76338521938013e-05,0.000447082367639536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"5",2003,160,111.193,10.43,426.3,10661312,4048471,5.5,2,"Spring",0,0,1,0.106629834254144,-0.148936170212766,0.0798801797304044,0.106629834254144,-0.148936170212766,0.000187875563532894,1.50075337819585e-05,0.00049475468639889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"6",2378,199,111.193,10.43,426.3,10661312,4048471,5.5,2,"Summer",1,0,0,0.187219171243135,0.24375,0.0836837678721615,0.187219171243135,0.24375,0.000223049470834359,1.86656201413109e-05,0.000587382248755147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
