"year","month","week","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","quarter","season","is_summer","is_winter","is_holiday","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system"
1996,"1",1,313,41,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,1,NA,NA,0.130990415335463,NA,NA,2.9503749756924e-05,3.86470843461305e-06,8.24284202659093e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"1",2,322,32,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,0.0287539936102236,-0.219512195121951,0.0993788819875776,0.0287539936102236,-0.219512195121951,3.03521003889122e-05,3.01635780262482e-06,8.47985665355361e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"1",3,299,29,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,-0.0714285714285714,-0.09375,0.096989966555184,-0.0714285714285714,-0.09375,2.81840932182756e-05,2.73357425862874e-06,7.87415260687121e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"1",4,327,32,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,0.0936454849498328,0.103448275862069,0.0978593272171254,0.0936454849498328,0.103448275862069,3.08234062955723e-05,3.01635780262482e-06,8.61153144631066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"1",5,160,12,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,-0.510703363914373,-0.625,0.075,-0.510703363914373,-0.625,1.50817890131241e-05,1.13113417598431e-06,4.2135933682254e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"2",1,154,15,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,-0.0375,0.25,0.0974025974025974,-0.0375,0.25,1.45162219251319e-05,1.41391771998038e-06,4.05558361691695e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"2",2,326,32,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,1.11688311688312,1.13333333333333,0.098159509202454,1.11688311688312,1.13333333333333,3.07291451142403e-05,3.01635780262482e-06,8.58519648775925e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"2",3,346,32,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,0.0613496932515337,0,0.092485549132948,0.0613496932515337,0,3.26143687408808e-05,3.01635780262482e-06,9.11189565878742e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"2",4,386,34,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,0.115606936416185,0.0625,0.0880829015544041,0.115606936416185,0.0625,3.63848159941618e-05,3.20488016528887e-06,0.000101652940008438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"2",5,256,28,100.664,9.489,426.8,10608821,3797234,8.2,1,"Winter",0,1,0,-0.336787564766839,-0.176470588235294,0.109375,-0.336787564766839,-0.176470588235294,2.41308624209985e-05,2.63931307729671e-06,6.74174938916064e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
