"year","month","month_date","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","quarter","season","is_summer","is_winter","is_holiday","Accidents_Lag1","Fatalities_Lag1","Accidents_Lag2","Fatalities_Lag2","Accidents_Lag3","Fatalities_Lag3","Accidents_Lag6","Fatalities_Lag6","Accidents_Lag12","Fatalities_Lag12","Accidents_Lag24","Fatalities_Lag24","Rolling_Avg_3m_a","Rolling_Avg_6m_a","Rolling_Avg_12m_a","Rolling_Avg_3m_f","Rolling_Avg_6m_f","Rolling_Avg_12m_f","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","AccidentsUnemployment","FatalitiesInflation","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system","CumulativeAccidents","CumulativeFatalities","RollingSum_3m_a","RollingSum_6m_a","RollingSum_12m_a","RollingSum_24m_a","RollingSum_3m_f","RollingSum_6m_f","RollingSum_12m_f","RollingSum_24m_f","season_numeric","fatal_binary","cluster","z_score","predicted_poisson"
1996,"1",1996-01-01,1421,146,100.664,9.489,426.8,10608821,3797234,8.2,"1","Winter","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1027445460943,NA,NA,0.000133945138672808,1.37621324744757e-05,0.000374219761015518,606482.8,1197.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,146,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,"1",0.306648000151167,2169.9920079155
1996,"2",1996-02-01,1468,141,100.664,9.489,426.8,10608821,3797234,8.2,"1","Winter","0","1","0",1421,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0330752990851513,-0.0342465753424658,0.0960490463215259,0.0330752990851513,-0.0342465753424658,0.000138375414195413,1.32908265678156e-05,0.00038659719153468,626542.4,1156.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2889,287,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,"1",0.412501827650418,2169.9920079155
1996,"3",1996-03-01,1512,116,100.664,9.489,426.8,10608821,3797234,8.2,"1","Spring","0","0","0",1468,141,1421,146,NA,NA,NA,NA,NA,NA,NA,NA,1467,NA,NA,134.333333333333,NA,NA,0.0299727520435967,-0.177304964539007,0.0767195767195767,0.0299727520435967,-0.177304964539007,0.000142522906174023,1.0934297034515e-05,0.0003981845732973,645321.6,951.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4401,403,4401,NA,NA,NA,403,NA,NA,NA,"2",1,"1",0.511599027862484,2169.9920079155
1996,"4",1996-04-01,1870,157,100.664,9.489,426.8,10608821,3797234,8.2,"2","Spring","0","0","0",1512,116,1468,141,1421,146,NA,NA,NA,NA,NA,NA,1616.66666666667,NA,NA,138,NA,NA,0.236772486772487,0.353448275862069,0.0839572192513369,0.236772486772487,0.353448275862069,0.000176268409090888,1.4799005469128e-05,0.000492463724911343,798116,1287.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6271,560,4850,NA,NA,NA,414,NA,NA,NA,"2",1,"1",1.31788988413338,2169.9920079155
1996,"5",1996-05-01,2199,158,100.664,9.489,426.8,10608821,3797234,8.2,"2","Spring","0","0","1",1870,157,1512,116,1468,141,NA,NA,NA,NA,NA,NA,1860.33333333333,NA,NA,143.666666666667,NA,NA,0.175935828877005,0.00636942675159236,0.0718508412914961,0.175935828877005,0.00636942675159236,0.000207280337749124,1.489326665046e-05,0.000579105738545478,938533.2,1295.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8470,718,5581,NA,NA,NA,431,NA,NA,NA,"2",1,"1",2.05886667662814,2169.9920079155
1996,"6",1996-06-01,2366,186,100.664,9.489,426.8,10608821,3797234,8.2,"2","Summer","1","0","0",2199,158,1870,157,1512,116,NA,NA,NA,NA,NA,NA,2145,1806,NA,167,150.666666666667,NA,0.075943610732151,0.177215189873418,0.0786136939983094,0.075943610732151,0.177215189873418,0.000223021955031572,1.75325797277567e-05,0.000623085119326331,1009808.8,1525.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10836,904,6435,10836,NA,NA,501,904,NA,NA,"3",1,"1",2.43498559561484,2169.9920079155
1996,"7",1996-07-01,2484,218,100.664,9.489,426.8,10608821,3797234,8.2,"3","Summer","1","0","0",2366,186,2199,158,1870,157,1421,146,NA,NA,NA,NA,2349.66666666667,1983.16666666667,NA,187.333333333333,162.666666666667,NA,0.0498732037193576,0.172043010752688,0.0877616747181965,0.0498732037193576,0.172043010752688,0.000234144774428751,2.05489375303816e-05,0.000654160370416993,1060171.2,1787.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13320,1122,7049,11899,NA,NA,562,976,NA,NA,"3",1,"1",2.70074626891083,2169.9920079155
1996,"8",1996-08-01,2380,292,100.664,9.489,426.8,10608821,3797234,8.2,"3","Summer","1","0","0",2484,218,2366,186,2199,158,1468,141,NA,NA,NA,NA,2410,2135.16666666667,NA,232,187.833333333333,NA,-0.0418679549114332,0.339449541284404,0.122689075630252,-0.0418679549114332,0.339449541284404,0.000224341611570221,2.75242649489514e-05,0.000626772013523528,1015784,2394.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15700,1414,7230,12811,NA,NA,696,1127,NA,NA,"3",1,"1",2.46651652295504,2169.9920079155
1996,"9",1996-09-01,2240,205,100.664,9.489,426.8,10608821,3797234,8.2,"3","Autumn","0","0","0",2380,292,2484,218,2366,186,1512,116,NA,NA,NA,NA,2368,2256.5,NA,238.333333333333,202.666666666667,NA,-0.0588235294117647,-0.297945205479452,0.0915178571428571,-0.0588235294117647,-0.297945205479452,0.000211145046183737,1.93235421730652e-05,0.000589903071551556,956032,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17940,1619,7104,13539,NA,NA,715,1216,NA,NA,"4",1,"1",2.15120724955302,2169.9920079155
1996,"10",1996-10-01,2124,189,100.664,9.489,426.8,10608821,3797234,8.2,"4","Autumn","0","0","0",2240,205,2380,292,2484,218,1870,157,NA,NA,NA,NA,2248,2298.83333333333,NA,228.666666666667,208,NA,-0.0517857142857143,-0.0780487804878049,0.0889830508474576,-0.0517857142857143,-0.0780487804878049,0.000200210749149222,1.78153632717528e-05,0.000559354519631922,906523.2,1549.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20064,1808,6744,13793,NA,NA,686,1248,NA,NA,"4",1,"1",1.88995099444848,2169.9920079155
