"year","year_date","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","Accidents_Lag1","Fatalities_Lag1","Accidents_Lag2","Fatalities_Lag2","Accidents_Lag3","Fatalities_Lag3","Accidents_Lag5","Fatalities_Lag5","Accidents_Lag10","Fatalities_Lag10","Rolling_Avg_3y_a","Rolling_Avg_5y_a","Rolling_Avg_10y_a","Rolling_Avg_3y_f","Rolling_Avg_5y_f","Rolling_Avg_10y_f","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","AccidentsUnemployment","FatalitiesInflation","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system","CumulativeAccidents","CumulativeFatalities","RollingSum_3y_a","RollingSum_5y_a","RollingSum_10y_a","RollingSum_3y_f","RollingSum_5y_f","RollingSum_10y_f","fatal_binary","cluster","z_score","predicted_poisson"
"1996",1996-01-01,23775,2157,100.664,9.489,426.8,10608821,3797234,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0907255520504732,NA,NA,0.00224105958616891,0.000203321368133179,0.00626113639559743,10147170,17687.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23775,2157,NA,NA,NA,NA,NA,NA,1,"2",1.71239883598116,26039.904094986
"1997",1997-01-01,24295,2105,111.193,10.43,426.3,10661312,4048471,5.5,23775,2157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0218717139852787,-0.0241075567918405,0.0866433422514921,0.0218717139852787,-0.0241075567918405,0.00227880020770427,0.000197442866318892,0.00600103100652073,10356958.5,11577.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48070,4262,NA,NA,NA,NA,NA,NA,1,"2",1.81895180718322,24896.0398248592
"1998",1998-01-01,24819,2182,121.086,11.295,507.9,10720566,4323118,4.8,24295,2105,23775,2157,NA,NA,NA,NA,NA,NA,24296.3333333333,NA,NA,2148,NA,NA,0.0215682239143857,0.0365795724465558,0.0879165155727467,0.0215682239143857,0.0365795724465558,0.00231508299095402,0.00020353402982641,0.00574099527239367,12605570.1,10473.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72889,6444,72889,NA,NA,6444,NA,NA,1,"2",1.92632441662529,23528.711990289
"1999",1999-01-01,24231,2116,128.668,11.956,554.7,10761705,4690412,2.6,24819,2182,24295,2105,23775,2157,NA,NA,NA,NA,24448.3333333333,NA,NA,2134.33333333333,NA,NA,-0.0236915266529675,-0.0302474793767186,0.0873261524493417,-0.0236915266529675,-0.0302474793767186,0.00225159489132995,0.000196623118734438,0.00516607069911982,13440935.7,5501.6,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,97120,8560,73345,NA,NA,6403,NA,NA,1,"2",1.80583759534296,21956.6324242496
"2000",2000-01-01,23001,2037,136.161,12.601,523.5,10805796,5060885,3.2,24231,2116,24819,2182,24295,2105,NA,NA,NA,NA,24017,24024.2,NA,2111.66666666667,2119.4,NA,-0.050761421319797,-0.0373345935727788,0.0885613668970914,-0.050761421319797,-0.0373345935727788,0.00212857988435095,0.000188509944107773,0.00454485727298684,12041023.5,6518.4,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,120121,10597,72051,120121,NA,6335,10597,NA,1,"2",1.5537988365381,20805.1169949068
"2001",2001-01-01,19671,1880,147.439,13.574,508.4,10862146,5389996,3.4,23001,2037,24231,2116,24819,2182,23775,2157,NA,NA,22301,23203.4,NA,2011,2064,NA,-0.144776314073301,-0.0770741286205204,0.0955721620659855,-0.144776314073301,-0.0770741286205204,0.00181096810888014,0.000173078137598224,0.00364953888648526,10000736.4,6392,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,139792,12477,66903,116017,NA,6033,10320,NA,1,"2",0.871450001724949,19786.5461721368
"2002",2002-01-01,16809,1634,158.902,14.576,492.6,10902005,5693008,3.6,19671,1880,23001,2037,24231,2116,24295,2105,NA,NA,19827,21706.2,NA,1850.33333333333,1969.8,NA,-0.145493365868537,-0.130851063829787,0.0972098280682967,-0.145493365868537,-0.130851063829787,0.00154182648054188,0.000149880687084623,0.00295256918662331,8280113.4,5882.4,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,156601,14111,59481,108531,NA,5551,9849,NA,1,"3",0.284998840993643,18898.4013939517
"2003",2003-01-01,15751,1605,174.096,15.931,472.6,10928091,5967610,3.5,16809,1634,19671,1880,23001,2037,24819,2182,NA,NA,17410.3333333333,19892.6,NA,1706.33333333333,1854.4,NA,-0.0629424712951395,-0.0177478580171359,0.101898292171926,-0.0629424712951395,-0.0177478580171359,0.00144133133591219,0.000146869201583332,0.00263941510923133,7443922.6,5617.5,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,172352,15716,52231,99463,NA,5119,9272,NA,1,"3",0.0682045265094631,18133.217320123
"2004",2004-01-01,15547,1670,188.905,17.243,520,10955163,6302033,2.9,15751,1605,16809,1634,19671,1880,24231,2116,NA,NA,16035.6666666667,18155.8,NA,1636.33333333333,1765.2,NA,-0.012951558631198,0.0404984423676012,0.107416221779121,-0.012951558631198,0.0404984423676012,0.00141914821349532,0.000152439539238257,0.00246698168670332,8084440,4843,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,187899,17386,48107,90779,NA,4909,8826,NA,1,"3",0.0264029762686572,17057.9102112598
"2005",2005-01-01,16914,1658,194.773,17.727,493.5,10987352,6640613,3.5,15547,1670,15751,1605,16809,1634,23001,2037,NA,NA,16070.6666666667,16938.4,20481.3,1644.33333333333,1689.4,1904.4,0.0879269312407538,-0.00718562874251497,0.0980253044814946,0.0879269312407538,-0.00718562874251497,0.00153940640110556,0.000150900781189135,0.00254705401444114,8347059,5803,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,204813,19044,48212,84692,204813,4933,8447,19044,1,"3",0.306514344794057,16235.3997580836
