"total_gdp","gdp_per_capita","unemployment","population","environmental_taxes","vehicles","petrol_cons","ng_cons","el_cons","fatal_per_million_veh","speed_infr","drink_infr","belt_infr","helmet_infr","inflation_rate","gini_index","year","accidents","fatalities"
"100.664","9.489","426.8","10608821","1.966","3797234","128.661","1.230","2.955",568,"615665","69051","175402","130265","8.2","37.6",1996,23775,2157
"111.193","10.430","426.3","10661312","2.238","4048471","132.494","1.990","2.905",520,"591471","66953","167478","126033","5.5","37.4",1997,24295,2105
"121.086","11.295","507.9","10720566","2.510","4323118","136.327","2.740","2.856",505,"567277","64856","159553","121800","4.8","37.2",1998,24819,2182
"128.668","11.956","554.7","10761705","2.782","4690412","140.160","3.500","2.807",451,"543083","62758","151629","117568","2.6","37.0",1999,24231,2116
"136.161","12.601","523.5","10805796","3.054","5060885","143.993","4.260","2.757",402,"518889","60661","143704","113336","3.2","36.7",2000,23001,2037
"147.439","13.574","508.4","10862146","3.326","5389996","147.826","5.020","2.708",349,"494695","58563","135780","109104","3.4","36.5",2001,19671,1880
"158.902","14.576","492.6","10902005","3.598","5693008","151.659","5.770","2.658",287,"470502","56466","127855","104872","3.6","36.3",2002,16809,1634
"174.096","15.931","472.6","10928091","3.870","5967610","155.492","6.530","2.609",269,"446308","54368","119931","100640","3.5","36.0",2003,15751,1605
"188.905","17.243","520.0","10955163","4.142","6302033","159.325","7.290","2.559",265,"422114","52271","112006","96408","2.9","35.8",2004,15547,1670
"194.773","17.727","493.5","10987352","4.414","6640613","163.158","8.050","2.510",250,"397920","50173","104082","92176","3.5","35.6",2005,16914,1658
"214.299","19.446","448.2","11020393","4.686","6995659","166.991","8.800","2.460",237,"373726","48075","96158","87944","3.2","35.4",2006,16019,1657
"229.283","20.752","418.3","11048499","4.958","7380265","170.824","9.560","2.411",218,"353133","45668","107112","97953","2.9","35.1",2007,15499,1612
"238.735","21.551","387.9","11077863","4.972","7729262","174.657","10.320","2.361",201,"349417","47257","86353","94530","4.2","34.9",2008,15083,1553
"234.323","21.097","484.7","11107024","4.944","7910565","178.490","11.080","2.312",184,"330186","45901","77274","78453","1.2","34.7",2009,14789,1456
"223.590","20.105","639.4","11121383","5.978","8062085","182.323","11.830","2.262",156,"263382","38033","49703","51526","4.7","32.9",2010,15032,1258
"203.475","18.323","881.8","11104944","6.017","8086910","196.666","14.940","2.213",141,"238033","34992","37120","47250","3.3","33.5",2011,13849,1141
"185.899","16.831","1195.1","11045010","6.938","8069872","54.935","14.730","2.164",122,"186675","30707","33722","47736","1.5","34.3",2012,12398,988
"178.114","16.244","1330.3","10965214","7.240","8035423","204.357","13.410","1.892",109,"178816","30853","35478","58122","-0.9","34.4",2013,12109,879
"176.072","16.165","1274.4","10892381","7.270","8048438","217.541","13.760","2.064",99,"156892","29597","34526","54354","-1.3","34.5",2014,11620,795
"175.363","16.206","1197.0","10820912","7.401","8076431","257.094","15.110","2.150",98,"173476","29191","29611","52783","-1.7","34.2",2015,11440,793
"174.448","16.189","1130.9","10775979","7.281","8172948","261.488","18.960","1.978",101,"176592","33192","34831","63971","-0.8","34.3",2016,11318,824
"177.378","16.493","1027.0","10754688","7.759","8262896","245.906","12.790","2.086",88,"107594","25003","8988","41392","1.1","33.4",2017,10848,731
"180.616","16.828","915.0","10732887","7.402","8236637","235.568","15.190","2.012",85,"83400","22905","1064","37159","0.6","32.3",2018,10737,700
"185.181","17.272","818.9","10721566","7.696","8402294","240.328","17.890","1.764",82,"59206","20808","0","32927","0.3","31.0",2019,10712,688
"167.540","15.660","755.0","10698590","6.818","8530050","193.716","18.130","1.675",68,"35013","18710","0","28695","-1.2","31.4",2020,9083,584
"184.575","17.347","677.7","10640409","7.701","8698421","188.567","21.040","1.620",72,"10819","16613","0","24463","1.2","32.4",2021,10454,624
"207.854","19.647","588.2","10579183","11.578","8882981","190.691","25.130","1.674",74,"0","14515","0","20231","9.6","31.4",2022,10487,654
